Marketing_ID,Drug_ID,Channel,Budget,ROI
M-346,D-9980,Online Ads,44951.89,6.67
M-347,D-7263,Billboards,82030.83,9.54
M-348,D-6031,TV,76170.94,8.53
M-349,D-4618,Online Ads,45899.51,9.31
M-350,D-6091,Print Media,78341.07,1.5
M-351,D-6435,Billboards,88579.96,7.19
M-352,D-8084,TV,57951.11,5.72
M-353,D-7257,Billboards,49961.27,4.72
M-354,D-8073,Billboards,50748.56,9.91
M-355,D-453,Online Ads,49489.09,1.32
M-356,D-9819,Radio,73279.8,7.31
M-357,D-3943,Print Media,51922.69,7.08
M-358,D-9016,Online Ads,55447.73,6.19
M-359,D-2671,Billboards,44477.15,6.25
M-360,D-921,Online Ads,95192.62,6.98
M-361,D-2168,Billboards,98022.39,4.19
M-362,D-735,Print Media,87181.29,2.52
M-363,D-7487,Online Ads,50670.12,2.19
M-364,D-1548,Online Ads,48838.46,7.68
M-365,D-9065,Print Media,71666.59,3.55
M-366,D-2336,Print Media,63728.75,9.02
M-367,D-5659,Radio,99173.18,5.15
M-368,D-3891,Online Ads,46147.93,2.81
M-369,D-4604,Radio,94031.04,2.24
M-370,D-5691,Radio,58532.56,3.45
M-371,D-9141,Online Ads,80575.35,3.16
M-372,D-9741,Online Ads,2482.86,2.01
M-373,D-9344,Print Media,29577.01,2.57
M-374,D-4213,Radio,37819.6,7.89
M-375,D-7955,TV,85858.8,1.95
M-376,D-7857,Online Ads,61719.6,2.52
M-377,D-8808,TV,98730.43,2.36
M-378,D-3269,Radio,33808.14,5.25
M-379,D-7003,Print Media,89164.67,1.57
M-380,D-115,Billboards,20386.89,9.09
M-381,D-8360,Radio,90499.48,8.37
M-382,D-2952,Print Media,40288.44,7.11
M-383,D-5607,TV,58642.4,5.04
M-384,D-6152,Billboards,97490.75,3.17
M-385,D-184,Billboards,53018.51,7.16
M-386,D-349,TV,3764.45,4.58
M-387,D-6646,Print Media,18000.64,6.07
M-388,D-2596,TV,5863.52,7.36
M-389,D-14,Radio,83138.81,8.86
M-390,D-1093,Print Media,86598.71,9.57
M-391,D-551,Print Media,62009.33,3.86
M-392,D-4356,Billboards,6567.32,7.72
M-393,D-6442,Radio,95666.51,3.07
M-394,D-6283,Radio,16603.39,5.69
M-395,D-3438,TV,59720.56,8.08
M-396,D-7547,Print Media,63437.55,9.35
M-397,D-9742,Billboards,82426.25,4.53
M-398,D-9529,TV,28447.74,8.7
M-399,D-1620,TV,71908.34,3.46
M-400,D-6151,Print Media,66151.21,7.84
M-401,D-6135,Print Media,72071.84,2.32
M-402,D-242,TV,26026.34,3.08
M-403,D-5507,Print Media,79931.06,3.42
M-404,D-5013,Radio,15036.84,1.2
M-405,D-1631,Print Media,41271.18,7.87
M-406,D-6643,Billboards,12736.52,3.32
M-407,D-1992,Online Ads,24633.16,7.1
M-408,D-6520,TV,76691.85,9.64
M-409,D-8229,TV,4523.68,6.79
M-410,D-4873,TV,67020.83,3.45
M-411,D-1435,Online Ads,35192.96,9.19
M-412,D-273,TV,44792.75,9.88
M-413,D-3585,Print Media,54898.59,9.66
M-414,D-3193,Radio,23334.68,6.82
M-415,D-7808,TV,29481.62,3.57
M-416,D-9208,Radio,96027.95,8.45
M-417,D-8772,TV,50780.49,2.93
M-418,D-603,Billboards,44452.51,8.96
M-419,D-1455,TV,77879.71,9.91
M-420,D-4420,Billboards,66068.88,8.28
M-421,D-997,Billboards,23219.08,3.08
M-422,D-1008,TV,1203.23,3.29
M-423,D-4647,Radio,34998.99,8.51
M-424,D-8189,Radio,96540.79,8.85
M-425,D-6630,Billboards,39430.73,6.86
M-426,D-4377,Billboards,36495.62,4.58
M-427,D-9195,Print Media,83333.4,5.46
M-428,D-2899,TV,9969.53,9.22
M-429,D-2758,Online Ads,83311.69,6.53
M-430,D-497,Print Media,2248.12,6.71
M-431,D-2639,Print Media,57912.53,8.17
M-432,D-7344,Print Media,5034.01,1.19
M-433,D-5574,Print Media,57262.38,7.87
M-434,D-2386,Print Media,52838.94,9.59
M-435,D-3388,Online Ads,99769.99,5.13
M-436,D-7407,TV,20516.01,9.66
M-437,D-8090,Radio,98045.59,4.12
M-438,D-8623,TV,9440.54,7.99
M-439,D-616,Radio,88136.62,7.81
M-440,D-1966,Billboards,1248.88,8.38
M-441,D-1923,Billboards,47358.06,3.49
M-442,D-9288,Billboards,41904.79,8.13
M-443,D-7612,Billboards,66940.1,2.07
M-444,D-8210,Billboards,91652.13,9.6
M-445,D-9585,Print Media,45938.49,2.52
M-446,D-6494,Radio,58151.89,7.45
M-447,D-5287,TV,20326.82,4.41
M-448,D-8232,TV,44277.56,6.88
M-449,D-8532,Billboards,16471.97,1.67
M-450,D-7782,Online Ads,72544.17,5.57
M-451,D-2481,TV,38965.17,7.33
M-452,D-1231,Radio,30362.9,7.39
M-453,D-2096,Print Media,55163.9,7.23
M-454,D-488,Online Ads,83310.51,6.13
M-455,D-6063,Radio,83136.87,3.23
M-456,D-7925,Print Media,62228.55,7.08
M-457,D-3177,Print Media,88344.4,7.3
M-458,D-7237,Radio,69135.13,8.78
M-459,D-9542,TV,26554.2,9.14
M-460,D-661,Billboards,31004.55,1.02
M-461,D-9894,Online Ads,62275.88,4.79
M-462,D-611,TV,41049.57,3.75
M-463,D-5210,Billboards,6224.12,9.03
M-464,D-9481,Online Ads,63605.97,1.03
M-465,D-6893,Radio,91278.08,5.76
M-466,D-2032,Billboards,30155.96,3.42
M-467,D-8787,Online Ads,6604.92,7.38
M-468,D-637,Print Media,79584.94,8.02
M-469,D-8535,Billboards,84426.28,4.32
M-470,D-9579,TV,18205.19,7.23
M-471,D-3626,Print Media,20127.08,4.42
M-472,D-7278,Online Ads,55444.11,6.5
M-473,D-207,Online Ads,69372.4,8.24
M-474,D-4146,TV,94383.92,7.0
M-475,D-6906,Print Media,37907.08,9.73
M-476,D-5529,Billboards,23846.44,6.0
M-477,D-3656,TV,54051.27,1.78
M-478,D-8438,Radio,34312.24,1.37
M-479,D-7586,TV,2694.8,6.49
M-480,D-3790,Radio,22103.55,3.5
M-481,D-6762,Billboards,28660.25,8.22
M-482,D-4269,Radio,71094.03,3.2
M-483,D-7772,Online Ads,43268.88,7.01
M-484,D-4898,Print Media,89421.05,7.86
M-485,D-8839,TV,7593.73,1.92
M-486,D-1291,Radio,67072.85,5.27
M-487,D-7360,Billboards,68945.87,2.99
M-488,D-921,Online Ads,64874.12,6.51
M-489,D-6675,Radio,58701.6,7.42
M-490,D-8003,Online Ads,35066.74,9.97
M-491,D-5322,Print Media,67690.54,4.22
M-492,D-5464,Print Media,59647.36,7.22
M-493,D-3544,TV,51182.67,1.02
M-494,D-8636,Print Media,78018.66,8.69
M-495,D-3532,Online Ads,77007.44,4.37
M-496,D-4967,Billboards,74315.59,8.95
M-497,D-7548,TV,90953.52,3.55
M-498,D-8972,TV,48766.18,3.78
M-499,D-3581,Billboards,55231.51,6.47
M-500,D-9113,Print Media,83131.3,2.29
M-501,D-1002,Print Media,65366.45,7.67
M-502,D-481,Online Ads,3003.45,1.88
M-503,D-5157,Radio,94649.17,9.07
M-504,D-6741,TV,44500.3,9.56
M-505,D-4869,Print Media,20135.49,9.43
M-506,D-29,Online Ads,79413.11,3.95
M-507,D-950,Online Ads,20085.06,6.6
M-508,D-3009,Print Media,69449.14,2.8
M-509,D-9984,Print Media,70896.76,4.47
M-510,D-8042,Online Ads,40900.92,6.25
M-511,D-2073,Print Media,67775.86,5.51
M-512,D-7279,Radio,27224.51,5.56
M-513,D-7459,Print Media,34781.44,1.48
M-514,D-9487,Online Ads,91322.68,9.18
M-515,D-822,Billboards,45950.03,9.61
M-516,D-1463,Radio,95774.09,5.17
M-517,D-2741,Billboards,55379.5,3.43
M-518,D-9517,Online Ads,36805.87,7.98
M-519,D-7671,Online Ads,61776.24,1.48
M-520,D-6240,Print Media,75034.17,9.71
M-521,D-1466,Online Ads,8229.7,3.2
M-522,D-6377,Online Ads,26163.57,7.57
M-523,D-5230,Billboards,98770.43,6.89
M-524,D-4941,Online Ads,87077.63,9.48
M-525,D-7014,TV,18824.78,4.96
M-526,D-3902,Billboards,35589.44,5.26
M-527,D-4608,Online Ads,54962.83,3.14
M-528,D-5874,Billboards,71340.82,7.37
M-529,D-902,Online Ads,66443.32,5.66
M-530,D-3314,TV,39290.8,5.98
M-531,D-8567,Online Ads,95332.37,9.72
M-532,D-4176,Print Media,59383.78,8.86
M-533,D-3057,TV,18830.69,4.66
M-534,D-5597,Print Media,65772.11,6.65
M-535,D-7660,TV,76108.03,8.33
M-536,D-9615,TV,66856.93,1.75
M-537,D-6942,Print Media,68401.66,1.99
M-538,D-5853,Print Media,20389.49,9.57
M-539,D-2632,Print Media,12594.98,8.46
M-540,D-6362,Radio,15425.82,9.52
M-541,D-258,TV,58601.74,4.97
M-542,D-7630,Billboards,6364.98,3.77
M-543,D-8731,Radio,55721.35,6.24
M-544,D-1833,Print Media,15482.63,2.61
M-545,D-3717,Print Media,95434.03,9.25
M-546,D-2728,TV,63732.13,6.12
M-547,D-8922,Billboards,74310.48,5.94
M-548,D-7835,TV,4520.78,3.21
M-549,D-8148,Online Ads,48865.3,5.41
M-550,D-5990,Print Media,61815.53,4.01
M-551,D-7382,Print Media,54183.49,6.18
M-552,D-6789,Print Media,18779.18,7.22
M-553,D-9776,TV,66523.1,1.4
M-554,D-3045,TV,93517.52,4.73
M-555,D-1774,Radio,69527.47,7.11
M-556,D-4206,Print Media,27553.52,9.54
M-557,D-6987,Online Ads,81692.82,2.03
M-558,D-7109,Radio,99771.43,5.18
M-559,D-642,TV,58831.64,5.99
M-560,D-4551,Radio,87107.22,1.04
M-561,D-5482,Online Ads,38254.62,8.43
M-562,D-646,TV,48610.82,8.1
M-563,D-6853,Billboards,10723.46,7.81
M-564,D-4393,Radio,53322.1,8.91
M-565,D-6409,Billboards,63554.83,9.74
M-566,D-6928,TV,1136.77,5.33
M-567,D-3516,Print Media,49144.21,5.26
M-568,D-6936,TV,44933.15,5.96
M-569,D-8513,Radio,80660.18,8.6
M-570,D-6434,Radio,54307.22,3.14
M-571,D-5657,Billboards,27864.46,9.41
M-572,D-1609,Radio,13922.84,7.48
M-573,D-9119,Online Ads,28008.54,4.28
M-574,D-7139,Print Media,77552.17,4.08
M-575,D-3530,Radio,41019.54,1.84
M-576,D-8270,Billboards,31736.25,8.54
M-577,D-1800,Radio,35436.85,7.71
M-578,D-8209,Online Ads,13852.83,7.63
M-579,D-7816,Online Ads,25472.97,6.21
M-580,D-3721,Online Ads,37940.36,3.08
M-581,D-255,Billboards,52524.88,3.81
M-582,D-1992,Online Ads,45979.42,1.91
M-583,D-3477,Billboards,60302.04,2.06
M-584,D-8445,Billboards,47924.1,2.84
M-585,D-6551,Billboards,63109.11,1.17
M-586,D-606,Online Ads,28363.27,8.27
M-587,D-3899,Print Media,54629.1,9.78
M-588,D-7990,Radio,98125.31,2.17
M-589,D-9960,Radio,23713.63,9.19
M-590,D-4339,Radio,81696.04,5.9
M-591,D-4398,TV,28519.83,1.19
M-592,D-3329,Radio,27876.28,9.02
M-593,D-7788,Print Media,52926.69,1.85
M-594,D-6879,TV,17768.72,1.27
M-595,D-7046,Online Ads,51383.57,1.21
M-596,D-2514,TV,76197.77,1.35
M-597,D-6344,TV,96548.95,9.54
M-598,D-9944,Radio,97468.77,7.0
M-599,D-8531,Billboards,58040.57,5.29
M-600,D-9816,Print Media,4128.29,3.59
M-601,D-7072,Radio,16239.61,3.85
M-602,D-7373,Print Media,13832.52,5.66
M-603,D-2821,Online Ads,68321.46,8.52
M-604,D-2746,Print Media,3306.14,9.05
M-605,D-6639,Radio,59842.16,7.22
M-606,D-5169,TV,69752.76,6.92
M-607,D-351,Radio,27019.67,7.05
M-608,D-4489,Billboards,24740.39,1.85
M-609,D-8525,Radio,54932.33,1.33
M-610,D-8741,Radio,39947.81,1.73
M-611,D-5203,Radio,49195.04,1.12
M-612,D-9131,Print Media,55137.55,9.44
M-613,D-6728,Radio,96408.36,4.15
M-614,D-9025,TV,5667.41,6.69
M-615,D-6263,Billboards,63412.12,5.36
M-616,D-6294,Print Media,40616.46,2.1
M-617,D-2387,Online Ads,31507.85,4.44
M-618,D-4890,Billboards,76527.9,2.34
M-619,D-1451,Print Media,84064.67,5.48
