Revenue_ID,Drug_ID,Year,Total_Revenue
R-349,D-6446,2016,909848.67
R-350,D-219,2024,1891316.19
R-351,D-394,2024,966219.1
R-352,D-1550,2021,1718735.82
R-353,D-2610,2016,1682993.47
R-354,D-7732,2018,211877.23
R-355,D-1981,2015,347731.76
R-356,D-7888,2021,1650908.34
R-357,D-2786,2024,1670570.03
R-358,D-623,2020,1306580.66
R-359,D-9225,2022,1026035.7
R-360,D-8816,2015,1693415.56
R-361,D-4726,2022,788442.71
R-362,D-265,2016,360261.85
R-363,D-2563,2018,1244536.95
R-364,D-7288,2015,1783885.6
R-365,D-567,2023,216243.66
R-366,D-9421,2015,1757409.06
R-367,D-4442,2017,1803685.8
R-368,D-3217,2023,518919.18
R-369,D-1490,2022,370370.16
R-370,D-5757,2023,806523.32
R-371,D-2787,2020,1552284.99
R-372,D-1920,2017,778535.21
R-373,D-1516,2022,905383.82
R-374,D-9960,2017,896910.86
R-375,D-8026,2019,121848.14
R-376,D-2011,2019,931967.52
R-377,D-7737,2015,283972.44
R-378,D-8568,2021,1270595.42
R-379,D-6825,2024,1571937.82
R-380,D-3000,2020,1762932.96
R-381,D-5653,2018,291797.19
R-382,D-6589,2020,1520774.24
R-383,D-1483,2016,1544734.91
R-384,D-6032,2022,1509551.12
R-385,D-6678,2016,1129469.33
R-386,D-3945,2022,1233445.84
R-387,D-6927,2016,1078080.0
R-388,D-9100,2016,1782606.55
R-389,D-8895,2023,534903.02
R-390,D-6531,2023,1450243.17
R-391,D-4468,2017,311450.26
R-392,D-6323,2017,242419.88
R-393,D-5540,2016,646292.63
R-394,D-292,2018,1863945.26
R-395,D-4660,2016,1091299.5
R-396,D-5309,2022,547869.91
R-397,D-6155,2017,1570357.5
R-398,D-9419,2018,201735.07
R-399,D-6344,2021,1907854.94
R-400,D-87,2016,1012408.08
R-401,D-6794,2018,677659.36
R-402,D-2622,2017,1592400.72
R-403,D-8484,2023,469472.8
R-404,D-5739,2015,1856669.64
R-405,D-3733,2015,991741.53
R-406,D-6327,2015,233709.57
R-407,D-7993,2016,617012.05
R-408,D-5070,2024,1751659.83
R-409,D-9908,2020,129934.33
R-410,D-2789,2024,120888.79
R-411,D-9154,2019,1247072.21
R-412,D-1101,2015,1052395.68
R-413,D-8661,2023,377334.34
R-414,D-7703,2022,628625.88
R-415,D-1251,2019,1550500.95
R-416,D-1208,2024,1275445.27
R-417,D-3305,2020,1537981.26
R-418,D-6732,2015,1896930.25
R-419,D-3825,2018,990890.44
R-420,D-5747,2018,503104.55
R-421,D-4734,2019,1828640.06
R-422,D-3132,2021,1779851.72
R-423,D-1921,2022,462913.15
R-424,D-3809,2015,1807095.56
R-425,D-3992,2020,1624622.82
R-426,D-1927,2022,770729.02
R-427,D-1511,2022,239326.47
R-428,D-2317,2018,1174559.1
R-429,D-8013,2021,1528714.6
R-430,D-853,2019,213346.02
R-431,D-7157,2016,655976.01
R-432,D-4685,2019,1749034.38
R-433,D-5244,2015,1526498.3
R-434,D-5073,2017,1943463.92
R-435,D-7867,2017,1737907.65
R-436,D-8660,2021,68388.68
R-437,D-3356,2024,1842978.56
R-438,D-9359,2020,1812769.32
R-439,D-9286,2021,562932.91
R-440,D-321,2017,1628469.62
R-441,D-4573,2015,1784979.28
R-442,D-9481,2024,1479212.83
R-443,D-7765,2019,833715.05
R-444,D-9947,2023,453302.52
R-445,D-1466,2019,602887.13
R-446,D-297,2021,560059.06
R-447,D-3917,2016,1801260.1
R-448,D-655,2023,328398.04
R-449,D-3437,2015,339786.46
R-450,D-3698,2017,1448359.06
R-451,D-7778,2023,1733792.79
R-452,D-9632,2023,1169352.17
R-453,D-9983,2017,704091.31
R-454,D-1895,2018,1940404.2
R-455,D-6630,2024,780754.43
R-456,D-1163,2023,1115413.61
R-457,D-8412,2023,236224.99
R-458,D-5487,2019,1570770.36
R-459,D-25,2018,394237.06
R-460,D-2635,2022,108482.3
R-461,D-7583,2022,988013.96
R-462,D-6534,2017,408061.32
R-463,D-7194,2016,1457866.04
R-464,D-858,2016,100782.56
R-465,D-7024,2023,824169.36
R-466,D-4217,2018,1940311.07
R-467,D-4630,2016,1397962.33
R-468,D-100,2023,1490300.98
R-469,D-9790,2020,471080.47
R-470,D-3437,2016,1767442.83
R-471,D-488,2022,484774.51
R-472,D-5248,2020,1425883.66
R-473,D-7884,2018,53949.21
R-474,D-7211,2015,849580.76
R-475,D-6975,2024,515921.95
R-476,D-1423,2022,985163.26
R-477,D-4768,2017,171822.11
R-478,D-202,2015,1350281.21
R-479,D-6279,2019,1721106.95
R-480,D-9599,2023,1884675.12
R-481,D-2516,2021,210258.01
R-482,D-6420,2023,1533671.91
R-483,D-364,2016,386438.87
R-484,D-715,2023,363322.47
R-485,D-5640,2017,748363.44
R-486,D-4657,2015,389107.12
R-487,D-2534,2019,657177.99
R-488,D-9142,2016,441419.18
R-489,D-6787,2017,1430348.02
R-490,D-3521,2024,1292069.83
R-491,D-5696,2017,806502.08
R-492,D-8004,2020,388776.53
R-493,D-4601,2015,166530.61
R-494,D-628,2021,669885.42
R-495,D-9134,2024,1831102.4
R-496,D-8251,2023,1815078.85
R-497,D-5527,2018,1107720.32
R-498,D-1752,2017,1889061.01
R-499,D-7262,2016,1004368.5
R-500,D-5034,2019,648730.23
R-501,D-4351,2019,723629.58
R-502,D-4865,2020,1420396.49
R-503,D-4753,2021,1715010.12
R-504,D-1225,2023,1480816.62
R-505,D-3990,2021,602570.19
R-506,D-8636,2018,1360206.02
R-507,D-8944,2016,334911.5
R-508,D-2127,2019,893831.42
R-509,D-5178,2021,1495528.45
R-510,D-8864,2023,1359435.43
R-511,D-2966,2022,1257147.62
R-512,D-4021,2015,1127119.03
R-513,D-5758,2019,522778.59
R-514,D-5626,2016,1687262.23
R-515,D-2370,2016,1461399.64
R-516,D-6429,2020,226037.26
R-517,D-3737,2016,1221319.61
R-518,D-7534,2021,927411.1
R-519,D-3369,2021,1856355.46
R-520,D-4020,2024,960118.19
R-521,D-8772,2020,890276.19
R-522,D-968,2020,77191.4
R-523,D-6281,2018,373211.18
R-524,D-1641,2024,1213636.36
R-525,D-8116,2017,1572138.75
R-526,D-7845,2016,1008483.46
R-527,D-9841,2023,607962.85
R-528,D-8397,2016,926892.63
R-529,D-9239,2016,598820.14
R-530,D-735,2017,1762417.09
R-531,D-4628,2019,1676257.76
R-532,D-3422,2021,732009.77
R-533,D-8754,2019,1247052.71
R-534,D-1417,2023,1831753.1
R-535,D-868,2023,1810341.58
R-536,D-169,2015,1077511.65
R-537,D-6499,2022,848903.52
R-538,D-3535,2023,1579814.96
R-539,D-1764,2023,1045551.35
R-540,D-44,2024,1172155.2
R-541,D-5163,2024,60088.74
R-542,D-9768,2015,198773.71
R-543,D-5766,2022,764893.17
R-544,D-458,2015,1740501.09
R-545,D-7563,2022,1917799.52
R-546,D-6601,2022,1571227.33
R-547,D-2039,2018,880022.08
R-548,D-4182,2015,1115205.7
R-549,D-78,2024,429337.66
R-550,D-4307,2023,817349.68
R-551,D-8432,2018,1669000.74
R-552,D-7029,2024,1486561.11
R-553,D-8292,2017,1232495.95
R-554,D-7660,2017,667371.9
R-555,D-1849,2017,219370.31
R-556,D-7106,2023,1231428.34
R-557,D-9768,2017,1955144.34
R-558,D-973,2016,175503.62
R-559,D-7885,2015,1683355.44
R-560,D-3956,2017,606978.82
R-561,D-3693,2016,1470708.2
R-562,D-9116,2020,1438655.87
R-563,D-2396,2017,1460179.07
R-564,D-1749,2018,1754479.49
R-565,D-933,2019,768982.78
R-566,D-9834,2023,1409955.21
R-567,D-2978,2019,1300663.89
R-568,D-874,2016,1789909.63
R-569,D-756,2022,1334340.85
R-570,D-1763,2016,258645.9
R-571,D-1910,2024,51579.39
R-572,D-4569,2018,438985.22
R-573,D-9879,2017,1560164.76
R-574,D-8612,2017,1052286.49
R-575,D-9859,2020,1255525.35
R-576,D-2260,2022,787674.72
R-577,D-1918,2016,937626.12
R-578,D-6257,2022,1873784.64
R-579,D-9090,2022,494353.87
R-580,D-5719,2024,1516264.42
R-581,D-372,2016,1521660.9
R-582,D-9404,2023,996203.55
R-583,D-8383,2020,1158408.04
R-584,D-9866,2015,1063133.0
R-585,D-4579,2021,1138218.24
R-586,D-7584,2019,89512.31
R-587,D-3161,2016,238288.2
R-588,D-8535,2024,1875526.49
R-589,D-3601,2022,1827712.25
R-590,D-6308,2022,386122.96
R-591,D-4212,2018,235469.57
R-592,D-6405,2017,303079.59
R-593,D-9863,2015,1925523.71
R-594,D-183,2018,243844.53
R-595,D-6906,2021,1341186.84
R-596,D-1851,2015,1791003.03
R-597,D-229,2022,1822467.01
R-598,D-7002,2016,521329.79
R-599,D-582,2019,577713.7
R-600,D-3620,2024,70156.2
R-601,D-3834,2023,1769811.28
R-602,D-8517,2022,578091.22
R-603,D-2544,2015,622456.42
R-604,D-2419,2018,1695690.72
R-605,D-3434,2022,1777978.78
R-606,D-9056,2023,1527019.03
R-607,D-2717,2019,1697686.06
R-608,D-2994,2019,1707785.1
R-609,D-3928,2020,1483342.11
R-610,D-6128,2022,1922126.3
R-611,D-3472,2021,672776.41
R-612,D-7510,2022,787677.47
R-613,D-5191,2021,1576397.74
R-614,D-5339,2018,1842900.2
R-615,D-8140,2016,1612128.65
R-616,D-2227,2019,1727725.1
R-617,D-7620,2016,1566218.81
R-618,D-609,2018,738300.25
R-619,D-5460,2016,241095.78
R-620,D-2164,2024,462630.84
R-621,D-5194,2017,422724.15
R-622,D-461,2024,734951.34
R-623,D-1060,2024,135175.33
R-624,D-8907,2018,1185116.21
R-625,D-8770,2017,1585562.58
R-626,D-7280,2017,1837873.0
R-627,D-2485,2018,472731.61
R-628,D-759,2024,1179599.88
R-629,D-6705,2019,1203171.31
R-630,D-6578,2022,1880797.15
R-631,D-5898,2023,759610.79
R-632,D-7231,2015,974734.3
R-633,D-8132,2015,1221998.72
R-634,D-6655,2015,993034.65
R-635,D-7978,2020,1381497.02
R-636,D-7622,2015,1451051.34
R-637,D-8959,2021,803276.67
R-638,D-8265,2022,378028.51
R-639,D-7726,2016,1671870.93
R-640,D-2013,2020,1570451.25
R-641,D-3109,2021,752602.88
R-642,D-163,2021,1876869.78
R-643,D-8395,2018,550548.17
R-644,D-4165,2021,1211503.76
R-645,D-8236,2023,656648.2
R-646,D-3456,2020,1634522.01
R-647,D-9879,2021,1854492.5
R-648,D-8134,2023,64276.17
R-649,D-2148,2023,1613819.97
R-650,D-25,2015,848962.53
R-651,D-646,2016,118775.61
R-652,D-6420,2015,1668247.62
R-653,D-6966,2024,215505.52
R-654,D-3486,2024,1948084.91
R-655,D-2131,2024,1606702.19
R-656,D-5483,2022,519807.84
R-657,D-7002,2018,843495.85
R-658,D-8326,2019,331023.21
R-659,D-9231,2023,848783.17
R-660,D-8862,2017,1665059.8
R-661,D-6160,2024,219843.89
R-662,D-5797,2015,1700185.01
R-663,D-7199,2019,1525836.18
R-664,D-5081,2020,207364.32
R-665,D-8215,2015,1416840.43
R-666,D-9603,2020,582240.26
R-667,D-3972,2022,271015.94
R-668,D-6566,2018,1590178.14
R-669,D-7625,2017,1034594.01
R-670,D-300,2021,1085848.15
R-671,D-7071,2021,1635418.6
R-672,D-1076,2018,1191451.85
R-673,D-9295,2015,564461.72
R-674,D-8099,2020,943976.6
R-675,D-5866,2021,187388.98
R-676,D-135,2017,256397.82
R-677,D-40,2020,1471170.59
R-678,D-3567,2024,841679.83
R-679,D-8585,2022,55541.79
R-680,D-1260,2017,61765.18
R-681,D-4896,2017,1977384.71
R-682,D-918,2018,700311.11
R-683,D-4217,2022,973328.72
R-684,D-3359,2015,991002.25
R-685,D-9148,2024,808400.8
R-686,D-8862,2016,392418.21
R-687,D-41,2019,592862.23
R-688,D-1447,2019,766475.14
R-689,D-5793,2017,276607.66
R-690,D-3351,2023,765508.76
R-691,D-1149,2023,175110.72
R-692,D-5787,2019,1961451.48
R-693,D-104,2020,1845110.64
R-694,D-171,2023,298450.54
R-695,D-5905,2018,1309311.46
R-696,D-8731,2016,871828.92
R-697,D-3441,2021,1978694.82
R-698,D-6077,2015,699501.7
R-699,D-3117,2019,1223992.61
R-700,D-4956,2024,1104798.37
R-701,D-8878,2021,286298.46
R-702,D-5257,2015,1287365.36
R-703,D-9089,2024,1453564.53
R-704,D-4806,2016,154322.01
R-705,D-3014,2018,1271002.18
R-706,D-5414,2018,741977.28
R-707,D-5380,2015,1159555.17
R-708,D-6516,2022,1509971.24
R-709,D-1127,2022,1217650.08
R-710,D-4513,2017,1475328.54
R-711,D-1037,2021,597934.2
R-712,D-7234,2017,912519.79
R-713,D-8531,2024,1116334.45
R-714,D-4942,2017,1124955.82
R-715,D-3581,2023,1009280.56
R-716,D-7394,2022,553531.06
R-717,D-6390,2020,459586.25
R-718,D-462,2015,192821.96
R-719,D-1607,2019,76135.02
R-720,D-8548,2020,593211.1
R-721,D-3248,2018,1442040.7
R-722,D-3063,2017,1437391.47
R-723,D-5882,2023,291596.9
R-724,D-7829,2017,1041693.3
R-725,D-9351,2019,1498208.41
R-726,D-8381,2023,652982.38
R-727,D-1927,2020,1637968.87
R-728,D-6299,2023,693337.14
R-729,D-9772,2015,1934895.01
R-730,D-5818,2017,1462367.13
R-731,D-3790,2020,1456022.07
R-732,D-5999,2022,1535671.35
R-733,D-2449,2021,807730.68
R-734,D-4277,2024,991482.24
R-735,D-6669,2024,1275805.43
R-736,D-9720,2023,566079.76
R-737,D-3116,2020,495686.41
R-738,D-7006,2023,342578.12
R-739,D-848,2024,1049417.83
R-740,D-4265,2018,1902009.03
R-741,D-3011,2024,202317.04
R-742,D-5375,2022,1465636.46
R-743,D-9384,2017,650747.6
R-744,D-9531,2020,1737353.36
R-745,D-350,2016,260660.82
R-746,D-4230,2015,1060613.63
R-747,D-119,2023,174650.92
R-748,D-1130,2024,94729.48
R-749,D-3962,2021,560839.03
R-750,D-9394,2021,572924.07
R-751,D-5125,2019,435731.21
R-752,D-9177,2016,658806.73
R-753,D-9413,2022,1298203.15
R-754,D-8350,2017,952732.25
R-755,D-1306,2023,1866916.07
R-756,D-8339,2023,1523970.41
R-757,D-4768,2020,307091.21
R-758,D-3865,2020,1977100.63
R-759,D-3055,2016,646846.54
R-760,D-4579,2023,486022.07
R-761,D-5039,2024,1770041.22
R-762,D-5932,2020,1810517.42
R-763,D-8132,2020,1751197.25
R-764,D-5090,2018,191809.39
R-765,D-3836,2024,1380362.47
R-766,D-5112,2019,118587.16
R-767,D-2999,2020,981271.56
R-768,D-5161,2018,1146605.52
R-769,D-9682,2019,1900699.23
R-770,D-5815,2020,1764125.69
R-771,D-1237,2017,1689861.8
R-772,D-2584,2018,605453.63
R-773,D-2556,2023,1911219.43
R-774,D-9126,2020,1397082.98
R-775,D-6602,2017,1251000.8
R-776,D-9548,2016,768801.2
R-777,D-5470,2019,1312171.69
R-778,D-2333,2021,1481862.22
R-779,D-9573,2016,1731548.8
R-780,D-3640,2016,554668.42
R-781,D-8213,2016,848512.76
R-782,D-2629,2015,730639.6
R-783,D-1689,2020,713524.86
R-784,D-807,2020,1024846.71
R-785,D-7131,2024,1016715.33
R-786,D-2527,2022,1612466.39
R-787,D-8825,2024,1321596.23
R-788,D-6256,2019,466887.91
R-789,D-9054,2017,529775.01
R-790,D-5674,2017,1609745.36
R-791,D-2222,2018,1575020.27
R-792,D-1616,2019,985757.37
R-793,D-704,2016,295903.58
R-794,D-650,2018,882850.69
R-795,D-7490,2017,1848649.31
R-796,D-3671,2019,1014651.21
R-797,D-5509,2017,1510295.09
R-798,D-9774,2021,1145858.81
R-799,D-532,2017,1468583.71
R-800,D-1252,2023,1863818.19
