Sale_ID,Drug_ID,Quantity_Sold,Revenue,Sale_Date,Region
S-148,D-8849,9,1065.31,2021-05-16,Birmingham
S-149,D-55,68,3968.05,2024-08-02,Manchester
S-150,D-7034,99,1288.36,2024-07-05,Manchester
S-151,D-9547,20,3706.28,2020-01-02,Birmingham
S-152,D-5399,72,835.47,2025-02-03,London
S-153,D-8284,34,1199.11,2022-10-04,Leeds
S-154,D-6768,27,2750.62,2024-02-27,Liverpool
S-155,D-2274,79,3411.16,2020-03-01,London
S-156,D-1100,73,431.33,2020-12-13,Birmingham
S-157,D-9211,100,3523.83,2023-02-01,Birmingham
S-158,D-5487,57,4790.8,2022-08-13,Birmingham
S-159,D-3275,39,3169.73,2022-01-13,London
S-160,D-1050,68,4960.22,2020-06-28,London
S-161,D-1688,50,2954.56,2022-01-18,Manchester
S-162,D-1539,75,3839.18,2024-10-28,Manchester
S-163,D-2681,72,2401.02,2020-09-01,Manchester
S-164,D-8234,6,3997.13,2020-09-23,Birmingham
S-165,D-1288,6,2751.27,2024-02-18,Manchester
S-166,D-7646,45,3340.88,2020-08-03,London
S-167,D-7937,92,3047.9,2024-07-13,Liverpool
S-168,D-9878,47,2251.12,2021-01-25,Manchester
S-169,D-492,63,4957.21,2021-02-02,Liverpool
S-170,D-3426,92,2011.11,2024-01-16,Birmingham
S-171,D-6412,27,2244.3,2024-09-04,Leeds
S-172,D-6946,26,2713.89,2021-05-28,Liverpool
S-173,D-6307,68,866.22,2022-04-03,Manchester
S-174,D-6443,1,2018.35,2024-06-27,London
S-175,D-3745,59,3210.6,2023-08-07,Leeds
S-176,D-6428,80,3599.95,2021-10-20,Leeds
S-177,D-4977,95,993.48,2024-08-02,Birmingham
S-178,D-7867,17,3006.47,2021-09-16,Manchester
S-179,D-2871,52,1977.64,2022-08-26,Birmingham
S-180,D-8309,81,4375.52,2023-05-24,London
S-181,D-1207,50,4254.44,2023-03-06,Manchester
S-182,D-4035,1,2099.7,2023-09-23,Liverpool
S-183,D-2595,74,609.85,2024-05-27,London
S-184,D-6786,87,1353.09,2023-11-03,London
S-185,D-5348,37,1375.07,2021-01-10,London
S-186,D-9528,2,2593.97,2022-02-09,Birmingham
S-187,D-8445,39,1760.16,2021-11-29,Leeds
S-188,D-4586,33,1426.69,2020-07-17,Birmingham
S-189,D-5510,59,215.83,2022-11-16,Manchester
S-190,D-167,48,2074.37,2020-03-06,Liverpool
S-191,D-3154,4,4118.32,2025-01-01,Manchester
S-192,D-3295,14,1972.41,2024-09-16,Manchester
S-193,D-8051,59,416.47,2021-12-15,Manchester
S-194,D-807,41,3412.1,2025-01-02,London
S-195,D-2835,2,4870.64,2021-11-15,London
S-196,D-9851,43,2829.74,2020-01-23,Liverpool
S-197,D-4557,53,1563.93,2020-08-08,Leeds
S-198,D-506,87,2873.53,2020-07-01,Birmingham
S-199,D-3686,51,3168.58,2021-12-12,Liverpool
S-200,D-8038,45,2979.28,2020-07-28,Liverpool
S-201,D-5919,42,3544.85,2020-04-07,Leeds
S-202,D-3584,67,792.0,2022-10-23,Leeds
S-203,D-5654,77,948.56,2020-08-08,Birmingham
S-204,D-3243,98,2991.82,2024-05-16,Liverpool
S-205,D-1764,79,487.76,2022-01-09,Manchester
S-206,D-3292,82,1121.58,2022-05-15,London
S-207,D-2545,96,3820.09,2024-02-17,Birmingham
S-208,D-4112,5,2636.83,2021-10-27,Birmingham
S-209,D-5619,83,1264.32,2024-08-02,Manchester
S-210,D-2067,51,3269.71,2021-02-15,London
S-211,D-7344,42,2966.56,2024-11-09,London
S-212,D-5408,69,4998.42,2024-11-25,London
S-213,D-6793,51,4502.3,2024-01-08,Leeds
S-214,D-7400,76,2938.09,2022-01-24,Liverpool
S-215,D-1608,64,2793.59,2024-01-09,Liverpool
S-216,D-9537,96,3798.51,2023-06-18,Leeds
S-217,D-5609,92,469.77,2021-08-14,Manchester
S-218,D-778,92,4804.48,2020-10-20,Liverpool
S-219,D-4089,18,2246.27,2020-10-28,Manchester
S-220,D-894,21,2110.03,2023-09-01,Liverpool
S-221,D-6049,26,4474.83,2023-01-05,Manchester
S-222,D-6600,22,203.61,2023-08-09,Birmingham
S-223,D-8214,38,1754.28,2023-07-01,London
S-224,D-7452,24,106.37,2023-12-21,London
S-225,D-9101,6,2327.4,2020-06-17,Leeds
S-226,D-1010,33,4764.31,2020-11-01,Leeds
S-227,D-7473,31,2900.15,2020-07-07,London
S-228,D-1099,3,1764.86,2023-06-04,Birmingham
S-229,D-2062,8,4353.24,2022-11-20,Leeds
S-230,D-6522,52,1486.07,2020-12-05,Liverpool
S-231,D-5403,31,4249.84,2022-02-11,Liverpool
S-232,D-2487,89,936.96,2021-08-18,Birmingham
S-233,D-4654,9,574.41,2021-08-13,London
S-234,D-4786,74,4218.4,2024-07-24,Leeds
S-235,D-8878,14,913.85,2023-10-25,London
S-236,D-9890,5,2836.4,2021-03-11,Leeds
S-237,D-1184,55,3285.44,2023-08-03,Manchester
S-238,D-8201,73,129.27,2021-07-24,Liverpool
S-239,D-5826,61,3560.19,2022-05-15,London
S-240,D-2622,13,1476.75,2023-12-08,Birmingham
S-241,D-9821,95,4762.79,2022-02-15,London
S-242,D-8280,32,1392.14,2020-08-22,Manchester
S-243,D-3899,49,4637.46,2023-10-08,London
S-244,D-8318,98,4001.31,2024-09-05,Leeds
S-245,D-8238,31,2105.86,2020-10-31,Birmingham
S-246,D-2773,44,3403.45,2020-06-06,Leeds
S-247,D-66,76,3000.32,2024-08-06,Manchester
S-248,D-1210,11,4896.86,2020-02-15,Leeds
S-249,D-5375,98,4811.66,2020-10-16,Leeds
S-250,D-1980,86,4063.66,2022-01-04,Manchester
S-251,D-4531,12,1437.74,2021-05-31,Liverpool
S-252,D-9620,39,385.26,2023-06-16,Liverpool
S-253,D-7649,92,3730.79,2024-02-17,Manchester
S-254,D-7238,19,3856.8,2024-02-04,Birmingham
S-255,D-8138,7,4910.57,2021-10-26,Manchester
S-256,D-6778,20,661.83,2023-05-30,Leeds
S-257,D-4395,71,4466.32,2020-07-01,Birmingham
S-258,D-9411,51,3293.3,2021-05-26,Liverpool
S-259,D-1463,14,1239.95,2023-03-23,Manchester
S-260,D-4032,18,1278.58,2020-01-07,Birmingham
S-261,D-6553,19,608.46,2023-04-27,Liverpool
S-262,D-1391,28,2501.07,2022-04-03,London
S-263,D-6689,21,4896.76,2023-11-14,Leeds
S-264,D-5768,71,3707.11,2022-06-05,Leeds
S-265,D-7217,53,2465.61,2023-08-07,Liverpool
S-266,D-6782,87,3357.18,2024-09-22,Leeds
S-267,D-5676,98,474.64,2024-02-21,Manchester
S-268,D-2256,16,1290.2,2021-04-25,Birmingham
S-269,D-8326,35,2113.52,2021-08-12,Birmingham
S-270,D-2729,1,877.81,2022-07-10,Liverpool
S-271,D-2194,92,2130.54,2021-11-07,Manchester
S-272,D-6337,99,3673.9,2020-06-30,Liverpool
S-273,D-1779,17,3044.8,2024-12-04,Birmingham
S-274,D-9298,82,698.65,2024-08-11,Birmingham
S-275,D-5371,37,1698.88,2020-07-08,Liverpool
S-276,D-4406,43,1864.61,2022-09-01,London
S-277,D-9234,39,4397.33,2020-06-26,Birmingham
S-278,D-389,18,2716.9,2020-06-04,Liverpool
S-279,D-2147,19,2679.29,2024-12-19,Manchester
S-280,D-9220,34,509.98,2024-01-21,Liverpool
S-281,D-4996,95,2215.03,2024-04-11,Birmingham
S-282,D-9207,77,1642.62,2024-07-08,Liverpool
S-283,D-4318,20,2633.41,2021-05-04,Leeds
S-284,D-9510,22,4967.2,2020-06-25,Manchester
S-285,D-4858,37,681.24,2024-04-26,London
S-286,D-3109,31,1486.07,2020-09-05,Leeds
S-287,D-4195,3,3904.09,2021-07-31,Leeds
S-288,D-5241,20,3601.34,2020-07-31,London
S-289,D-7505,30,2111.66,2025-01-22,Liverpool
S-290,D-7869,89,2552.12,2020-07-30,London
S-291,D-6706,17,4048.98,2021-12-31,Manchester
S-292,D-6474,100,621.31,2023-06-08,Manchester
S-293,D-1259,90,1031.32,2021-01-07,Manchester
S-294,D-3895,8,3454.68,2024-11-04,Liverpool
S-295,D-8886,2,3136.88,2022-02-03,Liverpool
S-296,D-8783,4,3982.29,2024-12-03,Leeds
S-297,D-7159,13,592.28,2025-01-21,London
S-298,D-5624,25,388.35,2020-05-03,Manchester
S-299,D-5570,17,971.01,2020-09-11,London
S-300,D-270,58,3059.31,2023-07-26,Birmingham
S-301,D-557,68,594.9,2024-12-18,Birmingham
S-302,D-9546,78,1758.33,2024-10-22,Birmingham
S-303,D-1482,22,3884.6,2024-06-12,Manchester
S-304,D-6022,70,4626.22,2022-09-09,Manchester
S-305,D-9738,85,3403.13,2022-03-21,Liverpool
S-306,D-5680,87,1770.61,2021-09-26,Manchester
S-307,D-6559,21,691.8,2022-09-03,Leeds
S-308,D-7268,34,582.38,2022-01-11,Leeds
S-309,D-8448,85,1901.43,2022-04-05,Liverpool
S-310,D-3073,31,497.96,2023-05-14,Liverpool
S-311,D-2321,43,691.63,2021-02-10,London
S-312,D-3413,8,4728.54,2022-07-21,Birmingham
S-313,D-9246,83,559.38,2023-11-21,London
S-314,D-5974,76,1981.51,2022-09-09,Birmingham
S-315,D-9686,63,745.05,2020-08-13,Birmingham
S-316,D-3085,73,3852.93,2020-01-29,Leeds
S-317,D-6286,13,1916.42,2023-11-24,Leeds
S-318,D-251,92,4460.98,2024-10-15,Liverpool
S-319,D-1918,30,3205.85,2020-11-06,London
S-320,D-9490,43,3001.03,2020-08-15,Manchester
S-321,D-4666,30,2046.33,2024-07-28,Liverpool
S-322,D-1425,98,898.74,2021-10-24,Birmingham
S-323,D-2527,21,3001.7,2024-04-20,Manchester
S-324,D-7532,78,577.14,2022-04-03,Manchester
S-325,D-503,42,1426.35,2021-02-15,Manchester
S-326,D-6801,49,335.68,2022-12-20,Birmingham
S-327,D-6273,15,657.07,2020-08-01,Leeds
S-328,D-1738,82,788.85,2022-01-28,London
S-329,D-9207,63,1287.43,2023-02-22,Liverpool
S-330,D-5361,53,2201.11,2022-06-04,Manchester
S-331,D-3765,24,4079.4,2021-05-05,Manchester
S-332,D-6714,76,2055.63,2023-09-23,Leeds
S-333,D-563,36,4103.05,2024-08-14,Liverpool
S-334,D-8701,95,2036.54,2022-07-28,Liverpool
S-335,D-8073,90,800.01,2024-07-01,Birmingham
S-336,D-8764,67,565.89,2020-01-25,Birmingham
S-337,D-682,36,2848.8,2024-09-19,Birmingham
S-338,D-7182,53,982.36,2022-07-19,Leeds
S-339,D-2226,95,2690.51,2020-11-17,Birmingham
S-340,D-12,63,3201.21,2021-02-21,London
S-341,D-2292,49,2824.37,2022-04-01,London
S-342,D-477,37,4367.03,2020-12-24,Birmingham
S-343,D-3662,8,2611.66,2020-11-28,Manchester
S-344,D-3518,99,3463.42,2024-09-14,London
S-345,D-9021,69,2353.4,2021-04-27,London
S-346,D-8997,97,539.22,2022-04-26,Leeds
S-347,D-1642,77,475.89,2022-05-25,Leeds
S-348,D-1093,59,3116.85,2021-10-16,Liverpool
S-349,D-2588,59,4234.38,2022-12-01,Leeds
S-350,D-187,75,2705.75,2021-09-24,Leeds
S-351,D-9468,47,1605.14,2022-03-31,Leeds
S-352,D-6995,28,3380.52,2024-04-19,Birmingham
S-353,D-6489,49,2273.77,2024-02-26,Liverpool
S-354,D-7811,9,323.94,2022-02-19,Liverpool
S-355,D-7023,36,4876.7,2020-06-06,London
S-356,D-3602,1,161.86,2020-10-13,London
S-357,D-7257,71,4108.47,2023-08-09,Leeds
S-358,D-2686,25,3736.01,2022-05-09,Liverpool
S-359,D-286,1,1352.02,2020-05-16,Liverpool
S-360,D-3267,83,1239.71,2020-01-12,Liverpool
S-361,D-7272,60,108.21,2022-11-02,Liverpool
S-362,D-3663,6,3172.72,2021-02-10,Leeds
S-363,D-4838,77,250.1,2022-03-24,Manchester
S-364,D-4100,7,4989.52,2021-05-17,Leeds
S-365,D-8246,51,906.59,2023-10-04,Leeds
S-366,D-3667,32,562.39,2024-09-10,Manchester
S-367,D-6150,31,657.31,2023-08-21,Liverpool
S-368,D-5925,49,485.27,2024-10-08,Leeds
S-369,D-6890,8,1560.52,2020-01-31,Manchester
S-370,D-7914,17,2604.76,2020-12-13,Liverpool
S-371,D-16,63,1624.12,2020-08-21,London
S-372,D-7537,25,4441.2,2021-04-08,Liverpool
S-373,D-1649,16,552.55,2024-08-22,Leeds
S-374,D-9492,93,3723.26,2020-04-21,Leeds
S-375,D-42,43,3716.03,2023-02-21,Leeds
S-376,D-5694,55,202.46,2024-12-14,London
S-377,D-6646,61,3825.2,2024-09-12,Leeds
S-378,D-5341,93,1614.76,2021-04-05,Liverpool
S-379,D-8035,21,2878.72,2023-08-28,Leeds
S-380,D-4703,54,2709.37,2021-01-30,Leeds
S-381,D-3176,9,2984.63,2020-05-09,Manchester
S-382,D-9650,63,818.75,2022-08-15,London
S-383,D-6686,96,1705.47,2023-02-06,Liverpool
S-384,D-8014,100,2122.22,2020-05-03,Leeds
S-385,D-7837,26,1571.58,2023-01-16,Leeds
S-386,D-557,55,4667.05,2021-10-14,Manchester
S-387,D-5205,24,3778.18,2022-02-14,Manchester
S-388,D-4271,76,3827.58,2020-11-15,Leeds
S-389,D-6408,19,4655.96,2023-01-03,London
S-390,D-7383,38,2994.65,2024-10-05,London
S-391,D-3297,42,2156.99,2023-06-16,London
S-392,D-9848,77,3628.49,2021-04-25,Manchester
S-393,D-3998,86,3084.41,2022-01-05,Liverpool
S-394,D-1244,70,1309.04,2021-05-19,Manchester
S-395,D-6431,74,1862.54,2021-07-04,Birmingham
S-396,D-4117,61,399.79,2023-07-04,London
S-397,D-9782,91,609.56,2020-03-18,Leeds
S-398,D-93,58,1883.75,2021-07-11,Manchester
S-399,D-9673,59,3366.44,2022-10-29,London
S-400,D-5599,26,1070.73,2023-07-03,Leeds
S-401,D-4433,70,314.54,2022-02-10,Birmingham
S-402,D-6975,93,229.01,2022-04-08,Manchester
S-403,D-9008,95,3902.68,2021-05-09,Liverpool
S-404,D-8728,24,4308.73,2020-12-01,Birmingham
S-405,D-8113,89,445.62,2023-04-03,Liverpool
S-406,D-3950,39,120.36,2020-04-30,Liverpool
S-407,D-821,25,3543.92,2024-01-02,Birmingham
S-408,D-5797,65,620.72,2021-11-22,Birmingham
S-409,D-8479,20,3457.86,2021-09-12,Birmingham
S-410,D-8235,9,2069.49,2023-12-01,Liverpool
S-411,D-7025,36,3695.22,2022-12-22,Manchester
S-412,D-8746,56,4288.54,2022-08-06,Manchester
S-413,D-2041,22,1622.96,2021-12-08,Manchester
S-414,D-953,77,3481.59,2021-11-23,Birmingham
S-415,D-2636,21,3404.57,2020-03-14,London
S-416,D-5416,22,763.88,2021-08-23,Birmingham
S-417,D-3480,24,3240.76,2023-05-22,Birmingham
S-418,D-1549,21,251.69,2022-10-16,Liverpool
S-419,D-2239,68,3036.64,2022-05-15,Liverpool
S-420,D-9664,29,2494.87,2020-08-03,Leeds
S-421,D-2886,26,2701.56,2022-05-17,Leeds
S-422,D-6921,67,3865.03,2022-12-26,Birmingham
S-423,D-6875,93,4601.28,2024-05-01,Leeds
S-424,D-2094,11,4438.27,2023-05-26,Leeds
S-425,D-5182,26,2608.25,2024-07-23,London
S-426,D-4459,65,2719.31,2022-10-25,Birmingham
S-427,D-8116,42,2913.06,2020-03-26,Leeds
S-428,D-8330,23,3061.4,2020-12-24,Birmingham
S-429,D-798,93,1208.99,2022-03-22,Birmingham
S-430,D-536,21,1475.85,2021-07-08,Liverpool
S-431,D-9234,28,4494.23,2024-12-08,Birmingham
S-432,D-5371,44,373.19,2022-04-04,Manchester
S-433,D-8449,77,1912.43,2020-04-28,London
S-434,D-848,4,796.7,2020-12-02,London
S-435,D-5012,50,4627.15,2025-01-27,Manchester
S-436,D-232,19,2542.47,2023-09-12,Leeds
S-437,D-1485,63,2359.91,2022-12-10,Leeds
S-438,D-4815,88,506.41,2022-09-01,Manchester
S-439,D-6326,4,1189.95,2023-09-17,Manchester
S-440,D-2002,99,2896.46,2024-05-07,Birmingham
S-441,D-5169,75,4281.94,2020-12-25,Manchester
S-442,D-9968,91,3285.62,2023-04-11,Liverpool
S-443,D-7649,38,2078.34,2024-11-26,London
S-444,D-213,6,225.45,2021-08-13,Birmingham
S-445,D-670,93,4862.72,2022-03-02,Manchester
S-446,D-420,88,464.47,2020-05-17,Birmingham
S-447,D-1153,13,137.28,2023-09-16,Manchester
S-448,D-9502,36,3338.99,2020-01-06,Leeds
S-449,D-911,39,1435.28,2024-06-03,Leeds
S-450,D-573,10,3417.44,2024-07-30,London
S-451,D-7386,22,1543.27,2021-09-04,London
S-452,D-3435,40,636.62,2023-02-05,Manchester
S-453,D-8505,44,3704.48,2023-09-01,Liverpool
S-454,D-8298,21,872.1,2020-08-05,Manchester
S-455,D-5247,24,1049.22,2022-10-22,Birmingham
S-456,D-4222,76,4481.96,2022-09-02,Leeds
S-457,D-6431,20,240.03,2021-01-22,Manchester
S-458,D-7226,33,2250.52,2022-07-22,Leeds
S-459,D-3798,48,3523.9,2024-04-24,Leeds
S-460,D-5064,50,2012.81,2022-08-18,Birmingham
S-461,D-8129,57,4944.41,2023-06-22,London
S-462,D-4638,87,2682.44,2022-10-10,Leeds
S-463,D-3998,4,1941.91,2023-06-04,Liverpool
S-464,D-6585,67,4106.98,2022-07-07,Leeds
S-465,D-9380,86,757.46,2024-09-18,Liverpool
S-466,D-3801,83,3518.02,2021-01-30,Birmingham
S-467,D-9401,73,3989.47,2021-08-19,Liverpool
S-468,D-532,29,3954.75,2023-07-30,Manchester
S-469,D-9085,74,2922.22,2023-03-23,Leeds
S-470,D-9903,91,4227.29,2021-06-24,Birmingham
S-471,D-4527,30,2616.63,2024-11-03,Manchester
S-472,D-1715,90,1325.94,2022-07-24,Liverpool
S-473,D-3452,83,3626.11,2023-06-15,Birmingham
S-474,D-1759,45,3778.36,2024-08-29,London
S-475,D-9411,5,349.9,2020-01-02,Manchester
S-476,D-8703,36,4040.49,2022-08-02,Manchester
S-477,D-5210,54,2458.97,2022-06-10,London
S-478,D-9425,21,3917.16,2021-10-15,Liverpool
S-479,D-6193,89,4648.18,2023-08-28,Manchester
S-480,D-8157,79,3499.8,2024-12-06,London
S-481,D-1109,89,532.93,2022-09-28,Birmingham
S-482,D-8580,25,4491.34,2023-12-15,Leeds
S-483,D-3589,26,878.78,2023-10-04,Leeds
S-484,D-2351,83,2140.97,2023-10-05,London
S-485,D-1790,59,2002.55,2021-10-25,Birmingham
S-486,D-3296,36,1797.66,2024-05-07,Liverpool
S-487,D-218,15,4298.98,2024-01-10,London
S-488,D-5737,46,3495.46,2021-06-11,Manchester
S-489,D-4814,26,594.1,2020-09-20,Manchester
S-490,D-2062,44,2199.1,2022-05-31,Manchester
S-491,D-8873,71,2035.7,2024-05-20,Birmingham
S-492,D-4148,94,2156.01,2022-11-07,Liverpool
S-493,D-2870,30,566.12,2020-10-17,London
S-494,D-5874,27,2346.09,2021-12-30,Manchester
S-495,D-1111,92,3984.25,2022-08-22,Manchester
S-496,D-1697,67,649.42,2021-11-28,London
S-497,D-1419,58,507.4,2021-09-10,Manchester
S-498,D-9551,66,682.5,2021-04-02,Manchester
S-499,D-686,83,291.01,2020-03-16,Liverpool
S-500,D-3217,75,2521.33,2020-05-23,Leeds
S-501,D-5790,47,612.38,2022-01-30,London
S-502,D-9850,80,3474.95,2024-01-16,London
S-503,D-4919,11,186.69,2020-08-14,Liverpool
S-504,D-236,94,1754.23,2023-11-15,Leeds
S-505,D-9468,79,2679.69,2023-07-11,Birmingham
