Drug_ID,Category,Manufacturer,Dosage_mg,Price_per_Unit,Drug_Name
D-86,Diabetes,Roche,277,471.59,Insulin
D-87,Antibiotic,Pfizer,165,493.46,Azithromycin
D-88,Antiviral,Novartis,41,5.78,Zidovudine
D-89,Antidepressant,Roche,116,226.28,Escitalopram
D-90,Antiviral,Novartis,126,165.35,Oseltamivir
D-91,Cardiovascular,Novartis,134,202.42,Losartan
D-92,Diabetes,Merck,309,409.88,Insulin
D-93,Antidepressant,Merck,399,458.57,Escitalopram
D-94,Painkiller,GSK,307,138.09,Codeine
D-95,Antidepressant,Merck,254,311.21,Escitalopram
D-96,Antidepressant,Pfizer,247,25.77,Sertraline
D-97,Painkiller,Novartis,60,309.51,Tramadol
D-98,Cardiovascular,Novartis,284,186.81,Ramipril
D-99,Antidepressant,Moderna,461,283.04,Escitalopram
D-100,Cardiovascular,Pfizer,410,101.35,Losartan
D-101,Cardiovascular,Roche,36,212.75,Metoprolol
D-102,Cardiovascular,Merck,173,105.14,Losartan
D-103,Antibiotic,Pfizer,414,279.21,Amoxicillin
D-104,Antifungal,GSK,334,192.07,Ketoconazole
D-105,Cardiovascular,GSK,47,364.18,Losartan
D-106,Painkiller,Novartis,110,284.48,Aspirin
D-107,Antifungal,Moderna,254,205.6,Fluconazole
D-108,Cardiovascular,Moderna,69,197.27,Amlodipine
D-109,Painkiller,AstraZeneca,236,232.26,Paracetamol
D-110,Painkiller,AstraZeneca,52,12.64,Codeine
D-111,Antiviral,Moderna,253,120.87,Oseltamivir
D-112,Antiviral,GSK,111,219.56,Acyclovir
D-113,Antidepressant,Pfizer,61,279.93,Fluoxetine
D-114,Cardiovascular,Pfizer,287,449.36,Losartan
D-115,Cardiovascular,Novartis,311,285.05,Amlodipine
D-116,Antifungal,GSK,120,238.88,Fluconazole
D-117,Painkiller,AstraZeneca,316,497.53,Paracetamol
D-118,Cardiovascular,Moderna,259,331.9,Metoprolol
D-119,Antidepressant,GSK,163,245.22,Sertraline
D-120,Diabetes,Novartis,301,309.11,Glipizide
D-121,Diabetes,Merck,14,185.22,Glipizide
D-122,Diabetes,Roche,307,188.64,Glipizide
D-123,Antibiotic,GSK,230,297.72,Levofloxacin
D-124,Painkiller,Roche,450,94.4,Codeine
D-125,Diabetes,Pfizer,473,229.5,Metformin
D-126,Antibiotic,Novartis,67,43.38,Levofloxacin
D-127,Diabetes,Novartis,378,229.96,Glipizide
D-128,Antidepressant,Merck,463,191.64,Sertraline
D-129,Antiviral,Moderna,236,348.14,Remdesivir
D-130,Antidepressant,Merck,408,122.19,Fluoxetine
D-131,Antibiotic,GSK,339,16.03,Azithromycin
D-132,Painkiller,Novartis,109,48.05,Aspirin
D-133,Antifungal,Moderna,311,218.65,Clotrimazole
D-134,Cardiovascular,Merck,422,352.26,Metoprolol
D-135,Antidepressant,Merck,335,494.18,Escitalopram
D-136,Painkiller,AstraZeneca,324,230.0,Paracetamol
D-137,Cardiovascular,GSK,396,481.88,Atorvastatin
D-138,Antiviral,Novartis,243,263.38,Lopinavir
D-139,Antiviral,GSK,10,281.74,Lopinavir
D-140,Cardiovascular,GSK,138,436.98,Losartan
D-141,Antiviral,Pfizer,396,193.17,Remdesivir
D-142,Painkiller,Merck,218,154.85,Aspirin
D-143,Antidepressant,GSK,317,43.94,Sertraline
D-144,Painkiller,Pfizer,148,428.12,Ibuprofen
D-145,Painkiller,Novartis,262,381.72,Aspirin
D-146,Cardiovascular,GSK,333,490.3,Losartan
D-147,Antifungal,AstraZeneca,100,287.96,Terbinafine
D-148,Antifungal,Roche,178,467.59,Fluconazole
D-149,Antidepressant,Pfizer,269,470.67,Amitriptyline
D-150,Cardiovascular,AstraZeneca,257,393.06,Ramipril
D-151,Antifungal,Novartis,273,183.8,Fluconazole
D-152,Antiviral,Merck,155,257.7,Lopinavir
D-153,Antifungal,AstraZeneca,497,485.9,Fluconazole
D-154,Antiviral,GSK,340,63.3,Acyclovir
D-155,Antidepressant,Roche,163,245.9,Escitalopram
D-156,Painkiller,Roche,145,148.94,Paracetamol
D-157,Painkiller,Roche,454,49.66,Aspirin
D-158,Antifungal,Merck,282,375.24,Ketoconazole
D-159,Antiviral,Moderna,137,246.7,Remdesivir
D-160,Antibiotic,Merck,184,195.62,Levofloxacin
D-161,Diabetes,GSK,150,96.51,Glipizide
D-162,Antibiotic,Pfizer,357,41.94,Amoxicillin
D-163,Diabetes,Roche,297,273.2,Canagliflozin
D-164,Antibiotic,AstraZeneca,267,399.63,Ceftriaxone
D-165,Painkiller,GSK,168,324.27,Paracetamol
D-166,Cardiovascular,Pfizer,330,76.6,Amlodipine
D-167,Painkiller,Roche,235,50.49,Codeine
D-168,Diabetes,GSK,67,357.82,Glipizide
D-169,Cardiovascular,AstraZeneca,397,204.39,Amlodipine
D-170,Antiviral,Pfizer,494,73.2,Zidovudine
D-171,Antifungal,Pfizer,103,136.8,Fluconazole
D-172,Antibiotic,Novartis,259,85.55,Ceftriaxone
D-173,Antiviral,AstraZeneca,13,303.56,Zidovudine
D-174,Antiviral,Novartis,173,241.38,Acyclovir
D-175,Antifungal,Roche,467,258.55,Ketoconazole
D-176,Antiviral,Pfizer,270,41.85,Lopinavir
D-177,Antifungal,AstraZeneca,250,31.43,Ketoconazole
D-178,Antidepressant,AstraZeneca,263,355.03,Escitalopram
D-179,Antifungal,Moderna,93,497.87,Itraconazole
D-180,Diabetes,GSK,101,442.52,Insulin
D-181,Antibiotic,Roche,43,361.9,Amoxicillin
D-182,Cardiovascular,GSK,399,186.39,Metoprolol
D-183,Cardiovascular,Pfizer,231,458.54,Atorvastatin
D-184,Antibiotic,Roche,354,57.09,Ceftriaxone
D-185,Cardiovascular,GSK,165,279.01,Losartan
D-186,Antifungal,Merck,58,342.1,Fluconazole
D-187,Diabetes,Moderna,483,189.56,Canagliflozin
D-188,Antidepressant,Moderna,451,417.55,Escitalopram
D-189,Diabetes,AstraZeneca,236,27.46,Sitagliptin
D-190,Cardiovascular,Moderna,185,220.38,Losartan
D-191,Antidepressant,Roche,336,255.37,Escitalopram
D-192,Antibiotic,Pfizer,361,6.43,Azithromycin
D-193,Antidepressant,GSK,285,291.1,Sertraline
D-194,Antiviral,Novartis,431,67.53,Oseltamivir
D-195,Painkiller,GSK,103,435.47,Codeine
D-196,Antiviral,Merck,109,250.99,Zidovudine
D-197,Antibiotic,Roche,408,5.03,Amoxicillin
D-198,Cardiovascular,Merck,65,289.39,Amlodipine
D-199,Cardiovascular,GSK,400,469.36,Atorvastatin
D-200,Antidepressant,Moderna,128,29.64,Escitalopram
D-201,Antifungal,Merck,119,317.9,Ketoconazole
D-202,Diabetes,GSK,167,113.68,Metformin
D-203,Painkiller,Merck,266,353.54,Aspirin
D-204,Antifungal,Moderna,166,174.37,Terbinafine
D-205,Antibiotic,AstraZeneca,173,141.18,Levofloxacin
D-206,Diabetes,AstraZeneca,402,31.16,Sitagliptin
D-207,Cardiovascular,AstraZeneca,281,89.98,Ramipril
D-208,Antidepressant,Roche,251,414.5,Escitalopram
D-209,Diabetes,GSK,62,142.83,Sitagliptin
D-210,Cardiovascular,Novartis,360,432.94,Ramipril
D-211,Antifungal,AstraZeneca,163,495.98,Itraconazole
D-212,Antifungal,Pfizer,484,254.03,Itraconazole
D-213,Painkiller,Pfizer,322,460.17,Paracetamol
D-214,Painkiller,AstraZeneca,117,307.46,Aspirin
D-215,Antidepressant,AstraZeneca,302,444.27,Fluoxetine
D-216,Diabetes,Novartis,354,443.31,Insulin
D-217,Painkiller,Novartis,89,143.6,Codeine
D-218,Antifungal,Roche,175,33.91,Fluconazole
D-219,Diabetes,Roche,90,245.31,Canagliflozin
D-220,Antifungal,Merck,108,327.72,Fluconazole
D-221,Antibiotic,Pfizer,402,456.64,Levofloxacin
D-222,Antifungal,Novartis,212,260.77,Fluconazole
D-223,Antidepressant,GSK,412,84.65,Sertraline
D-224,Antiviral,Roche,97,134.6,Oseltamivir
D-225,Antibiotic,GSK,446,229.05,Amoxicillin
D-226,Antibiotic,Merck,90,49.59,Doxycycline
D-227,Antidepressant,Roche,322,496.87,Amitriptyline
D-228,Diabetes,AstraZeneca,349,40.88,Metformin
D-229,Diabetes,Novartis,90,471.09,Metformin
D-230,Antidepressant,Roche,176,273.41,Fluoxetine
D-231,Painkiller,AstraZeneca,499,465.96,Tramadol
D-232,Antibiotic,Merck,274,387.35,Azithromycin
D-233,Painkiller,GSK,252,8.09,Codeine
D-234,Antifungal,GSK,344,37.63,Terbinafine
D-235,Antibiotic,Merck,314,394.22,Levofloxacin
D-236,Antibiotic,Pfizer,413,471.77,Levofloxacin
D-237,Cardiovascular,Moderna,223,322.53,Ramipril
D-238,Antiviral,Novartis,409,377.76,Oseltamivir
D-239,Diabetes,Pfizer,381,34.21,Canagliflozin
D-240,Antibiotic,Pfizer,147,62.5,Levofloxacin
D-241,Diabetes,Novartis,127,189.04,Insulin
D-242,Antifungal,Moderna,487,5.51,Fluconazole
D-243,Diabetes,AstraZeneca,144,93.11,Glipizide
D-244,Painkiller,Pfizer,251,234.59,Codeine
D-245,Painkiller,Pfizer,488,404.59,Paracetamol
D-246,Cardiovascular,Moderna,448,490.62,Metoprolol
D-247,Antiviral,AstraZeneca,437,330.18,Acyclovir
D-248,Antifungal,Pfizer,165,160.92,Terbinafine
D-249,Painkiller,GSK,199,216.56,Tramadol
D-250,Antidepressant,Moderna,84,375.03,Sertraline
D-251,Antifungal,Novartis,166,26.59,Itraconazole
D-252,Diabetes,Moderna,180,184.55,Canagliflozin
D-253,Antifungal,Merck,382,473.77,Itraconazole
D-254,Antiviral,Moderna,191,431.79,Lopinavir
D-255,Painkiller,Roche,434,223.09,Aspirin
D-256,Antifungal,GSK,391,411.3,Fluconazole
D-257,Diabetes,Pfizer,171,72.4,Canagliflozin
D-258,Cardiovascular,AstraZeneca,240,26.71,Amlodipine
D-259,Cardiovascular,Novartis,167,233.88,Metoprolol
D-260,Painkiller,GSK,227,405.78,Tramadol
D-261,Cardiovascular,Roche,298,298.86,Atorvastatin
D-262,Antidepressant,Moderna,211,341.84,Escitalopram
D-263,Antiviral,Novartis,400,7.28,Oseltamivir
D-264,Cardiovascular,AstraZeneca,223,244.51,Ramipril
D-265,Cardiovascular,Novartis,12,453.5,Metoprolol
D-266,Antidepressant,Novartis,400,415.84,Escitalopram
D-267,Antiviral,GSK,491,328.55,Zidovudine
D-268,Antifungal,GSK,216,439.24,Terbinafine
D-269,Antiviral,Pfizer,38,289.13,Lopinavir
D-270,Antibiotic,AstraZeneca,219,159.57,Azithromycin
D-271,Painkiller,Moderna,191,357.13,Codeine
D-272,Painkiller,Pfizer,340,351.07,Codeine
D-273,Antibiotic,Pfizer,422,117.37,Azithromycin
D-274,Antidepressant,Merck,81,324.7,Mirtazapine
D-275,Antibiotic,Merck,243,399.74,Amoxicillin
D-276,Antifungal,Moderna,402,263.34,Fluconazole
D-277,Antifungal,Merck,150,209.54,Itraconazole
D-278,Painkiller,Roche,19,279.89,Ibuprofen
D-279,Antifungal,GSK,429,110.6,Itraconazole
D-280,Painkiller,AstraZeneca,370,429.44,Ibuprofen
D-281,Antibiotic,Novartis,113,175.58,Amoxicillin
D-282,Antibiotic,Roche,116,299.61,Levofloxacin
D-283,Cardiovascular,AstraZeneca,348,143.12,Atorvastatin
D-284,Cardiovascular,GSK,376,238.75,Amlodipine
D-285,Antibiotic,GSK,141,62.21,Ceftriaxone
D-286,Painkiller,Merck,160,418.98,Ibuprofen
D-287,Antibiotic,AstraZeneca,436,48.6,Azithromycin
D-288,Antibiotic,Novartis,201,314.08,Ceftriaxone
D-289,Diabetes,Roche,22,361.87,Insulin
D-290,Antidepressant,GSK,174,463.22,Escitalopram
D-291,Antibiotic,GSK,228,488.82,Ceftriaxone
D-292,Antifungal,Roche,414,105.08,Clotrimazole
D-293,Painkiller,Merck,205,158.87,Paracetamol
D-294,Antidepressant,Roche,176,271.52,Amitriptyline
D-295,Cardiovascular,Novartis,295,110.54,Ramipril
D-296,Antiviral,Novartis,296,386.4,Acyclovir
D-297,Painkiller,AstraZeneca,388,387.86,Paracetamol
D-298,Antifungal,Roche,112,22.58,Terbinafine
D-299,Painkiller,Moderna,418,169.48,Ibuprofen
D-300,Cardiovascular,Merck,120,81.1,Atorvastatin
D-301,Antifungal,AstraZeneca,326,388.47,Itraconazole
D-302,Antifungal,Moderna,267,333.67,Terbinafine
D-303,Antiviral,Merck,235,204.62,Zidovudine
D-304,Painkiller,AstraZeneca,448,343.88,Tramadol
D-305,Diabetes,Moderna,150,39.02,Canagliflozin
D-306,Antiviral,Novartis,64,446.74,Lopinavir
D-307,Diabetes,AstraZeneca,48,110.6,Canagliflozin
D-308,Antiviral,AstraZeneca,134,441.42,Remdesivir
D-309,Painkiller,Merck,92,396.38,Paracetamol
D-310,Antibiotic,Merck,176,183.17,Doxycycline
D-311,Antibiotic,Pfizer,380,131.74,Doxycycline
D-312,Cardiovascular,Moderna,255,383.15,Amlodipine
D-313,Antiviral,AstraZeneca,492,412.81,Lopinavir
D-314,Antidepressant,AstraZeneca,379,172.01,Mirtazapine
D-315,Antiviral,Novartis,313,459.61,Acyclovir
D-316,Antiviral,Moderna,250,213.24,Zidovudine
D-317,Antiviral,Roche,497,34.94,Zidovudine
D-318,Diabetes,Moderna,494,431.71,Metformin
D-319,Cardiovascular,GSK,33,489.61,Amlodipine
D-320,Antibiotic,Roche,409,220.53,Ceftriaxone
D-321,Cardiovascular,AstraZeneca,347,373.94,Metoprolol
D-322,Cardiovascular,Moderna,209,226.66,Amlodipine
D-323,Cardiovascular,Moderna,362,296.2,Ramipril
D-324,Antibiotic,Merck,475,113.42,Amoxicillin
D-325,Antibiotic,GSK,371,360.29,Ceftriaxone
D-326,Antiviral,GSK,259,129.43,Zidovudine
D-327,Cardiovascular,GSK,137,153.29,Ramipril
D-328,Antidepressant,Merck,153,273.26,Mirtazapine
D-329,Diabetes,Moderna,320,101.64,Sitagliptin
D-330,Diabetes,Moderna,310,155.3,Sitagliptin
D-331,Antibiotic,Moderna,202,92.55,Doxycycline
D-332,Painkiller,Pfizer,40,401.1,Paracetamol
D-333,Painkiller,Pfizer,61,194.4,Tramadol
D-334,Painkiller,AstraZeneca,38,490.79,Aspirin
D-335,Antifungal,Roche,337,454.34,Itraconazole
D-336,Antiviral,Moderna,185,484.68,Oseltamivir
D-337,Painkiller,Novartis,151,152.47,Paracetamol
D-338,Antiviral,AstraZeneca,285,457.93,Zidovudine
D-339,Painkiller,AstraZeneca,199,272.4,Aspirin
D-340,Antidepressant,Moderna,234,168.77,Escitalopram
D-341,Antiviral,Moderna,482,31.27,Zidovudine
D-342,Painkiller,Roche,155,409.07,Paracetamol
D-343,Diabetes,GSK,66,463.87,Glipizide
D-344,Antibiotic,Pfizer,251,353.82,Levofloxacin
D-345,Antiviral,GSK,78,199.77,Remdesivir
D-346,Diabetes,AstraZeneca,460,227.25,Sitagliptin
D-347,Diabetes,AstraZeneca,393,171.1,Insulin
D-348,Diabetes,Moderna,47,44.63,Glipizide
D-349,Antifungal,AstraZeneca,176,480.66,Ketoconazole
D-350,Antibiotic,Novartis,406,83.93,Amoxicillin
D-351,Antibiotic,Roche,385,284.46,Levofloxacin
D-352,Cardiovascular,Moderna,221,365.95,Atorvastatin
D-353,Antifungal,Roche,432,9.82,Itraconazole
D-354,Diabetes,AstraZeneca,87,21.84,Insulin
D-355,Antibiotic,Pfizer,457,468.77,Levofloxacin
D-356,Antibiotic,Pfizer,87,451.65,Azithromycin
D-357,Diabetes,Novartis,311,165.65,Metformin
D-358,Diabetes,Novartis,163,26.04,Metformin
D-359,Painkiller,Merck,303,316.33,Ibuprofen
D-360,Painkiller,Moderna,112,158.19,Aspirin
D-361,Antiviral,Novartis,297,18.64,Lopinavir
D-362,Antiviral,AstraZeneca,55,495.11,Remdesivir
D-363,Antiviral,Moderna,234,55.35,Zidovudine
D-364,Painkiller,Pfizer,135,120.62,Aspirin
D-365,Diabetes,GSK,177,475.77,Insulin
D-366,Antiviral,Roche,303,498.41,Acyclovir
D-367,Antibiotic,Roche,289,234.04,Ceftriaxone
D-368,Painkiller,AstraZeneca,400,256.22,Codeine
D-369,Antiviral,GSK,348,197.01,Zidovudine
D-370,Antibiotic,GSK,143,302.51,Azithromycin
D-371,Antiviral,AstraZeneca,295,344.91,Oseltamivir
D-372,Antidepressant,Novartis,281,75.45,Fluoxetine
D-373,Diabetes,AstraZeneca,428,403.69,Metformin
D-374,Diabetes,Merck,159,353.56,Sitagliptin
D-375,Antiviral,Roche,363,225.37,Zidovudine
D-376,Antidepressant,GSK,21,197.59,Mirtazapine
D-377,Antiviral,Moderna,81,344.94,Zidovudine
D-378,Cardiovascular,Merck,405,92.69,Atorvastatin
D-379,Cardiovascular,Roche,404,318.75,Ramipril
D-380,Diabetes,GSK,44,206.03,Insulin
D-381,Antifungal,Novartis,455,312.39,Itraconazole
D-382,Cardiovascular,AstraZeneca,412,460.09,Atorvastatin
D-383,Cardiovascular,GSK,368,160.99,Amlodipine
D-384,Antiviral,Pfizer,374,460.36,Remdesivir
D-385,Painkiller,GSK,388,137.68,Tramadol
D-386,Painkiller,Novartis,170,470.55,Codeine
D-387,Antidepressant,Pfizer,500,342.88,Fluoxetine
D-388,Painkiller,Moderna,446,499.11,Paracetamol
D-389,Antibiotic,GSK,194,447.02,Amoxicillin
D-390,Antifungal,Roche,473,335.1,Ketoconazole
D-391,Cardiovascular,Pfizer,405,95.21,Amlodipine
D-392,Antifungal,AstraZeneca,238,451.05,Fluconazole
D-393,Antibiotic,Pfizer,392,393.54,Azithromycin
D-394,Cardiovascular,Novartis,462,450.55,Amlodipine
D-395,Antidepressant,Roche,119,181.89,Escitalopram
D-396,Antibiotic,Merck,104,481.18,Doxycycline
D-397,Antibiotic,Moderna,174,10.23,Doxycycline
D-398,Antifungal,Novartis,249,430.67,Fluconazole
D-399,Antiviral,AstraZeneca,126,380.98,Oseltamivir
D-400,Antifungal,Pfizer,245,351.32,Clotrimazole
D-401,Diabetes,AstraZeneca,195,30.13,Glipizide
D-402,Antifungal,Pfizer,180,163.16,Terbinafine
D-403,Painkiller,Roche,111,171.94,Paracetamol
D-404,Antibiotic,GSK,356,432.1,Levofloxacin
D-405,Antifungal,Moderna,370,465.6,Fluconazole
D-406,Antibiotic,Roche,142,453.72,Levofloxacin
D-407,Diabetes,Roche,140,176.78,Canagliflozin
D-408,Painkiller,Moderna,319,399.98,Tramadol
D-409,Antibiotic,Merck,392,344.76,Azithromycin
D-410,Antifungal,Merck,487,296.16,Terbinafine
D-411,Antibiotic,AstraZeneca,21,222.88,Ceftriaxone
D-412,Cardiovascular,Moderna,81,445.85,Metoprolol
D-413,Diabetes,Pfizer,71,173.19,Sitagliptin
D-414,Painkiller,Pfizer,338,221.84,Ibuprofen
D-415,Antiviral,Roche,220,26.69,Lopinavir
D-416,Antibiotic,Merck,228,418.2,Levofloxacin
D-417,Antifungal,Novartis,212,54.45,Itraconazole
D-418,Painkiller,GSK,422,224.26,Ibuprofen
D-419,Antifungal,GSK,259,99.68,Clotrimazole
D-420,Antifungal,Pfizer,418,68.92,Itraconazole
D-421,Antibiotic,Roche,34,299.51,Amoxicillin
D-422,Antifungal,Novartis,435,29.51,Itraconazole
D-423,Antibiotic,Moderna,280,180.16,Azithromycin
D-424,Antiviral,Novartis,40,372.87,Oseltamivir
D-425,Cardiovascular,AstraZeneca,477,338.67,Losartan
D-426,Antifungal,Roche,272,323.74,Clotrimazole
D-427,Antifungal,Roche,201,457.16,Ketoconazole
D-428,Antifungal,Roche,18,334.88,Terbinafine
D-429,Antidepressant,Pfizer,299,415.47,Fluoxetine
D-430,Antidepressant,GSK,233,28.83,Sertraline
D-431,Painkiller,AstraZeneca,26,491.37,Paracetamol
D-432,Cardiovascular,Novartis,268,147.48,Atorvastatin
D-433,Cardiovascular,Moderna,457,340.38,Ramipril
D-434,Antidepressant,GSK,418,112.03,Sertraline
D-435,Painkiller,Merck,177,155.51,Aspirin
D-436,Antidepressant,Novartis,414,362.08,Fluoxetine
D-437,Antiviral,AstraZeneca,285,105.62,Remdesivir
D-438,Painkiller,Novartis,261,449.14,Ibuprofen
D-439,Cardiovascular,AstraZeneca,154,63.67,Ramipril
D-440,Cardiovascular,Pfizer,304,142.33,Amlodipine
D-441,Antidepressant,AstraZeneca,180,67.4,Mirtazapine
D-442,Antiviral,AstraZeneca,334,20.56,Acyclovir
D-443,Antidepressant,AstraZeneca,44,111.18,Sertraline
D-444,Diabetes,AstraZeneca,386,27.58,Sitagliptin
D-445,Antibiotic,Novartis,48,307.73,Doxycycline
D-446,Antibiotic,Merck,299,486.29,Amoxicillin
D-447,Antiviral,Roche,57,145.68,Zidovudine
D-448,Antifungal,Pfizer,295,40.64,Terbinafine
D-449,Antifungal,Moderna,409,153.45,Terbinafine
D-450,Antibiotic,GSK,67,308.65,Ceftriaxone
D-451,Antibiotic,Novartis,282,51.43,Doxycycline
D-452,Antifungal,GSK,91,114.58,Clotrimazole
D-453,Painkiller,Novartis,418,328.7,Codeine
D-454,Antifungal,Merck,272,440.85,Itraconazole
D-455,Antidepressant,Novartis,443,310.22,Fluoxetine
D-456,Painkiller,AstraZeneca,445,91.26,Tramadol
D-457,Antidepressant,Moderna,54,274.99,Mirtazapine
D-458,Antibiotic,Merck,303,176.32,Ceftriaxone
D-459,Painkiller,GSK,482,376.27,Ibuprofen
D-460,Antidepressant,Novartis,249,455.1,Escitalopram
D-461,Antidepressant,GSK,322,344.58,Sertraline
D-462,Painkiller,Novartis,342,173.53,Tramadol
D-463,Antiviral,Moderna,107,27.62,Lopinavir
D-464,Diabetes,Merck,394,197.02,Sitagliptin
D-465,Antifungal,Roche,47,21.46,Ketoconazole
D-466,Cardiovascular,Roche,402,206.74,Losartan
D-467,Antidepressant,Pfizer,360,246.01,Escitalopram
D-468,Antifungal,Moderna,230,470.58,Ketoconazole
D-469,Diabetes,Moderna,428,11.46,Sitagliptin
D-470,Cardiovascular,AstraZeneca,151,14.51,Amlodipine
D-471,Antifungal,Novartis,248,287.74,Itraconazole
D-472,Antibiotic,Merck,241,471.74,Amoxicillin
D-473,Cardiovascular,Roche,465,454.87,Atorvastatin
D-474,Diabetes,AstraZeneca,460,276.01,Insulin
D-475,Antifungal,Pfizer,388,41.48,Ketoconazole
D-476,Antidepressant,Roche,87,196.49,Fluoxetine
D-477,Cardiovascular,Merck,343,222.42,Atorvastatin
D-478,Antibiotic,Novartis,179,135.07,Azithromycin
D-479,Painkiller,Pfizer,47,390.26,Ibuprofen
D-480,Antidepressant,Pfizer,103,448.24,Escitalopram
D-481,Antibiotic,Novartis,341,498.08,Amoxicillin
D-482,Antibiotic,GSK,304,252.97,Doxycycline
D-483,Cardiovascular,AstraZeneca,183,348.72,Metoprolol
